,Cell_id,General_area,Sub_area,Layer,Dendrite_type,Hemisphere,cell_reporter_status,line_name,Database,Experiment,Animal,Exc_Inh,Exc_Inh_FT,Cell_type,Layer_second,Model_id,file_name,Folder,Cluster,Cluster_Layer,Cluster_Cell_type,Cluster_nb
0,,,,,,,,,,,,,,,,314642645.0,,L4_exc_grp4_neuron_config,L4_exc_grp4,L4,IT,grp4
1,479225294.0,VIS,VISp,4,spiny,right,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,480051155.0,Cell_479225294_model_480051155_config.json,,,,,
2,479179020.0,VIS,VISp,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,480051204.0,Cell_479179020_model_480051204_config.json,L5_IT_grp2_neuron_config,L5_IT_grp2,L5,IT,grp2
3,479150681.0,VIS,VISp,5,spiny,right,positive,Rbp4-Cre_KL100,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,480051252.0,Cell_479150681_model_480051252_config.json,,,,,
4,479508018.0,VIS,VISp,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,480070790.0,Cell_479508018_model_480070790_config.json,,,,,
5,479492633.0,VIS,VISp,5,spiny,right,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,481101899.0,Cell_479492633_model_481101899_config.json,,,,,
6,479721491.0,VIS,VISp,5,spiny,right,positive,Rbp4-Cre_KL100,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,482520359.0,Cell_479721491_model_482520359_config.json,L5_IT_grp2_neuron_config,L5_IT_grp2,L5,IT,grp2
7,479722622.0,VIS,VISp,5,spiny,left,positive,Rbp4-Cre_KL100,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,482520476.0,Cell_479722622_model_482520476_config.json,,,,,
8,,,,,,,,,,,,,,,,482525253.0,,L5_CF_grp1_neuron_config,L5_CF_grp1,L5,CF,grp1
9,,,,,,,,,,,,,,,,482525343.0,,L5_CF_grp1_neuron_config,L5_CF_grp1,L5,CF,grp1
10,,,,,,,,,,,,,,,,482525587.0,,L4_exc_grp5_neuron_config,L4_exc_grp5,L4,exc,grp5
11,480351780.0,VIS,VISp,5,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,482529685.0,Cell_480351780_model_482529685_config.json,L5_CF_grp1_neuron_config,L5_CF_grp1,L5,CF,grp1
12,479711015.0,VIS,VISp,4,spiny,right,positive,Rbp4-Cre_KL100,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,482571529.0,Cell_479711015_model_482571529_config.json,,,,,
13,479766169.0,VIS,VISp,6a,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,6,482578591.0,Cell_479766169_model_482578591_config.json,,,,,
14,480087928.0,VIS,VISp,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,482583553.0,Cell_480087928_model_482583553_config.json,L4_exc_grp4_neuron_config,L4_exc_grp4,L4,exc,grp4
15,480122859.0,VIS,VISp,5,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,482657015.0,Cell_480122859_model_482657015_config.json,L5_IT_grp1_neuron_config,L5_IT_grp1,L5,IT,grp1
16,480124551.0,VIS,VISp,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,482657370.0,Cell_480124551_model_482657370_config.json,L4_exc_grp1_neuron_config,L4_exc_grp1,L4,exc,grp1
17,480169178.0,VIS,VISp,5,spiny,right,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,5,482657517.0,Cell_480169178_model_482657517_config.json,L5_IT_grp2_neuron_config,L5_IT_grp2,L5,IT,grp2
18,480171348.0,VIS,VISp,6a,aspiny,left,positive,Sst-IRES-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Inhibitory,Fast-Spiking,Sst,6,482658852.0,Cell_480171348_model_482658852_config.json,,,,,
19,481003593.0,VIS,VISp,4,aspiny,right,positive,Htr3a-Cre_NO152,Allen_Cell_Type_Database,In_Vitro,Mouse,Inhibitory,Non Fast-Spiking,Htr3a,4,483066453.0,Cell_481003593_model_483066453_config.json,,,,,
20,481004298.0,VIS,VISp,2/3,aspiny,right,positive,Htr3a-Cre_NO152,Allen_Cell_Type_Database,In_Vitro,Mouse,Inhibitory,Non Fast-Spiking,Htr3a,2/3,483066828.0,Cell_481004298_model_483066828_config.json,,,,,
21,481093525.0,VIS,VISp,5,aspiny,left,positive,Pvalb-IRES-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Inhibitory,Fast-Spiking,PValb,5,483103926.0,Cell_481093525_model_483103926_config.json,L5_pvalb_grp1_neuron_config,L5_pvalb_grp1,L5,pvalb,grp1
22,482516216.0,VIS,VISp,2/3,aspiny,left,positive,Htr3a-Cre_NO152,Allen_Cell_Type_Database,In_Vitro,Mouse,Inhibitory,Non Fast-Spiking,Htr3a,2/3,483106844.0,Cell_482516216_model_483106844_config.json,,,,,
23,,,,,,,,,,,,,,,,483108190.0,,L5_IT_grp2_neuron_config,L5_IT_grp2,L5,IT,grp2
24,480647923.0,VIS,VISp,4,spiny,left,positive,Scnn1a-Tg2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,483108635.0,Cell_480647923_model_483108635_config.json,,,,,
25,480171386.0,VIS,VISp,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,483108790.0,Cell_480171386_model_483108790_config.json,,,,,
26,480273887.0,VIS,VISl,4,spiny,left,positive,Rorb-IRES2-Cre,Allen_Cell_Type_Database,In_Vitro,Mouse,Excitatory,Excitatory,Excitatory,4,483108921.0,Cell_480273887_model_483108921_config.json,,,,,
