,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
0,Skewed Gaussian,4.910829917487002,0.1589986120018444,0.0933182313492437,2.2524792256067383,2.1521098540381733,170,Gain,5,0.03,Per_layer,Excitatory
1,Skewed Gaussian,9.347382879270112,0.1956841520721239,0.1084847456154678,1.2267354076443449,5.510410191727245,276,Gain,4,0.03,Per_layer,Excitatory
2,Skewed Gaussian,2.0463555320395574,0.1920622106993213,0.1434711859206537,2.682267594554183,1.9839942178505008,56,Gain,6,0.03,Per_layer,Excitatory
3,Skewed Gaussian,1.8988138864600037,0.3874781493578389,0.1622495113010146,-1.652491749684791,1.165574504099638,58,Gain,2/3,0.03,Per_layer,Excitatory
4,Skewed Gaussian,9746.019630056537,34.16847518347651,77.37888581157046,5.021314676434489,5.623483060510375,560,Threshold,5,17.87,All_layer,Excitatory
5,Skewed Gaussian,9746.019630056537,34.16847518347651,77.37888581157046,5.021314676434489,5.623483060510375,560,Threshold,4,17.87,All_layer,Excitatory
6,Skewed Gaussian,9746.019630056537,34.16847518347651,77.37888581157046,5.021314676434489,5.623483060510375,560,Threshold,6,17.87,All_layer,Excitatory
7,Skewed Gaussian,9746.019630056537,34.16847518347651,77.37888581157046,5.021314676434489,5.623483060510375,560,Threshold,2/3,17.87,All_layer,Excitatory
8,Skewed Gaussian,3.783044553589902,0.1303768758145418,0.0874407279436065,1.3103014459044828,2.531300507895256,176,Input_Resistance_GOhms,5,0.02,Per_layer,Excitatory
9,Skewed Gaussian,6.387711777857902,0.1515410662944031,0.0842954409241555,1.7583667527953113,2.7794763676347443,287,Input_Resistance_GOhms,4,0.02,Per_layer,Excitatory
10,LogNormal,1.3030237229841146,-1.6370303536459858,0.4369764890968755,,1.1236908473133345,58,Input_Resistance_GOhms,6,0.02,Per_layer,Excitatory
11,Gaussian,1.4082896560906295,0.1913373211190283,0.0809682047494717,,1.6836061654786267,60,Input_Resistance_GOhms,2/3,0.02,Per_layer,Excitatory
12,Skewed Gaussian,365.88353607611594,29.526699630140424,12.349996580562769,-4.352446928080588,2.3806970183757827,176,Time_constant_ms,5,1.84,Per_layer,Excitatory
