,Pre_Layer,Post_Layer,Pre_pop,Post_pop,pmax,sigma,rule,weight,synaptic_type
0,L_1,L_1,Htr3a,Htr3a,65.6,120.0,billeh,10,static_InhToInh.json
1,L_1,L_2/3,Htr3a,Excitatory,35.6,85.0,billeh,10,static_InhToExc.json
2,L_1,L_2/3,Htr3a,Sst,6.8,120.0,billeh,10,static_InhToInh.json
3,L_1,L_2/3,Htr3a,Vip,46.4,120.0,billeh,10,static_InhToInh.json
4,L_1,L_2/3,Htr3a,Htr3a,46.4,120.0,billeh,10,static_InhToInh.json
5,L_1,L_4,Htr3a,Excitatory,14.8,85.0,billeh,10,static_InhToExc.json
6,L_1,L_5,Htr3a,cf,14.8,85.0,billeh,10,static_InhToInh.json
7,L_1,L_5,Htr3a,it,14.8,85.0,billeh,10,static_InhToInh.json
8,L_1,L_6,Htr3a,Excitatory,14.8,85.0,billeh,10,static_InhToExc.json
9,L_2/3,L_2/3,Excitatory,Excitatory,7.97,66.18,gaussian,10,static_ExcToExc.json
10,L_2/3,L_2/3,Excitatory,PValb,55.45,74.39,gaussian,10,static_ExcToInh.json
11,L_2/3,L_2/3,Excitatory,Sst,51.61,100.0,exponential,10,static_ExcToInh.json
12,L_2/3,L_2/3,Excitatory,Vip,20.38,100.0,gaussian,10,static_ExcToInh.json
13,L_2/3,L_2/3,PValb,Excitatory,51.93,100.0,gaussian,10,static_InhToExc.json
14,L_2/3,L_2/3,PValb,PValb,42.09,100.0,gaussian,10,static_InhToInh.json
15,L_2/3,L_2/3,PValb,Sst,16.34,88.34,gaussian,10,static_InhToInh.json
16,L_2/3,L_2/3,PValb,Vip,0.1,10.0,exponential,10,static_InhToInh.json
17,L_2/3,L_2/3,Sst,Excitatory,31.79,75.96,gaussian,10,static_InhToExc.json
18,L_2/3,L_2/3,Sst,PValb,28.2,83.8,gaussian,10,static_InhToInh.json
19,L_2/3,L_2/3,Sst,Sst,7.04,100.0,gaussian,10,static_InhToInh.json
20,L_2/3,L_2/3,Sst,Vip,37.14,91.0,gaussian,10,static_InhToInh.json
21,L_2/3,L_2/3,Vip,Excitatory,5.43,100.0,gaussian,10,static_InhToExc.json
22,L_2/3,L_2/3,Vip,PValb,7.21,24.91,gaussian,10,static_InhToInh.json
23,L_2/3,L_2/3,Vip,Sst,23.47,73.97,exponential,10,static_InhToInh.json
24,L_2/3,L_2/3,Vip,Vip,1.16,100.0,gaussian,10,static_InhToInh.json
25,L_2/3,L_2/3,Htr3a,Excitatory,8.7,85.0,billeh,10,static_InhToExc.json
26,L_2/3,L_2/3,Htr3a,PValb,2.0,120.0,billeh,10,static_InhToInh.json
27,L_2/3,L_2/3,Htr3a,Sst,62.5,120.0,billeh,10,static_InhToInh.json
28,L_2/3,L_2/3,Htr3a,Vip,2.8,120.0,billeh,10,static_InhToInh.json
29,L_2/3,L_2/3,Htr3a,Htr3a,2.8,120.0,billeh,10,static_InhToInh.json
30,L_2/3,L_2/3,Excitatory,Htr3a,10.5,103.0,billeh,10,static_ExcToInh.json
31,L_2/3,L_2/3,PValb,Htr3a,22.0,120.0,billeh,10,static_InhToInh.json
32,L_2/3,L_2/3,Sst,Htr3a,77.0,120.0,billeh,10,static_InhToInh.json
33,L_2/3,L_2/3,Vip,Htr3a,2.8,120.0,billeh,10,static_InhToInh.json
34,L_2/3,L_4,Excitatory,Excitatory,1.6,114.0,billeh,10,static_ExcToExc.json
35,L_2/3,L_4,Excitatory,PValb,8.3,92.0,billeh,10,static_ExcToInh.json
36,L_2/3,L_4,Excitatory,Sst,8.3,103.0,billeh,10,static_ExcToInh.json
37,L_2/3,L_4,Excitatory,Htr3a,8.3,103.0,billeh,10,static_ExcToInh.json
38,L_2/3,L_4,Excitatory,Vip,8.3,103.0,billeh,10,static_ExcToInh.json
39,L_2/3,L_5,Excitatory,cf,8.3,114.0,billeh,10,static_ExcToInh.json
40,L_2/3,L_5,Excitatory,it,8.3,114.0,billeh,10,static_ExcToInh.json
41,L_2/3,L_5,Excitatory,PValb,8.1,92.0,billeh,10,static_ExcToInh.json
42,L_2/3,L_5,Excitatory,Sst,10.2,103.0,billeh,10,static_ExcToInh.json
43,L_2/3,L_1,PValb,Htr3a,2.4,120.0,billeh,10,static_InhToInh.json
44,L_2/3,L_4,PValb,Excitatory,5.0,95.0,billeh,10,static_InhToExc.json
45,L_2/3,L_4,PValb,PValb,5.0,120.0,billeh,10,static_InhToInh.json
46,L_2/3,L_4,PValb,Sst,5.0,120.0,billeh,10,static_InhToInh.json
47,L_2/3,L_4,PValb,Htr3a,5.0,120.0,billeh,10,static_InhToInh.json
48,L_2/3,L_4,PValb,Vip,5.0,120.0,billeh,10,static_InhToInh.json
49,L_2/3,L_5,PValb,cf,7.0,95.0,billeh,10,static_InhToInh.json
50,L_2/3,L_5,PValb,it,7.0,95.0,billeh,10,static_InhToInh.json
51,L_2/3,L_5,PValb,PValb,7.3,120.0,billeh,10,static_InhToInh.json
52,L_2/3,L_1,Sst,Htr3a,27.9,120.0,billeh,10,static_InhToInh.json
53,L_2/3,L_4,Sst,Excitatory,5.0,85.0,billeh,10,static_InhToExc.json
54,L_2/3,L_4,Sst,PValb,5.0,120.0,billeh,10,static_InhToInh.json
55,L_2/3,L_4,Sst,Sst,5.0,120.0,billeh,10,static_InhToInh.json
56,L_2/3,L_4,Sst,Htr3a,5.0,120.0,billeh,10,static_InhToInh.json
57,L_2/3,L_4,Sst,Vip,5.0,120.0,billeh,10,static_InhToInh.json
58,L_2/3,L_5,Sst,cf,2.1,85.0,billeh,10,static_InhToInh.json
59,L_2/3,L_5,Sst,it,2.1,85.0,billeh,10,static_InhToInh.json
60,L_2/3,L_4,Htr3a,Excitatory,5.0,85.0,billeh,10,static_InhToExc.json
61,L_2/3,L_4,Htr3a,PValb,5.0,120.0,billeh,10,static_InhToInh.json
62,L_2/3,L_4,Htr3a,Sst,5.0,120.0,billeh,10,static_InhToInh.json
63,L_2/3,L_4,Htr3a,Htr3a,5.0,120.0,billeh,10,static_InhToInh.json
64,L_2/3,L_4,Htr3a,Vip,5.0,120.0,billeh,10,static_InhToInh.json
65,L_2/3,L_4,Vip,Excitatory,5.0,85.0,billeh,10,static_InhToExc.json
66,L_2/3,L_4,Vip,PValb,5.0,120.0,billeh,10,static_InhToInh.json
67,L_2/3,L_4,Vip,Sst,5.0,120.0,billeh,10,static_InhToInh.json
68,L_2/3,L_4,Vip,Htr3a,5.0,120.0,billeh,10,static_InhToInh.json
69,L_2/3,L_4,Vip,Vip,5.0,120.0,billeh,10,static_InhToInh.json
70,L_4,L_4,Excitatory,Excitatory,12.54,100.0,gaussian,100,static_ExcToExc.json
71,L_4,L_4,Excitatory,PValb,51.77,53.22,exponential,100,static_ExcToInh.json
72,L_4,L_4,Excitatory,Sst,7.13,40.56,gaussian,100,static_ExcToInh.json
73,L_4,L_4,Excitatory,Vip,23.97,10.0,gaussian,100,static_ExcToInh.json
74,L_4,L_4,PValb,Excitatory,66.8,72.32,exponential,100,static_InhToExc.json
75,L_4,L_4,PValb,PValb,60.24,92.09,gaussian,100,static_InhToInh.json
76,L_4,L_4,PValb,Sst,100.0,10.0,gaussian,100,static_InhToInh.json
77,L_4,L_4,PValb,Vip,19.29,27.47,gaussian,100,static_InhToInh.json
78,L_4,L_4,Sst,Excitatory,59.0,40.23,exponential,100,static_InhToExc.json
79,L_4,L_4,Sst,PValb,54.43,100.0,exponential,100,static_InhToInh.json
80,L_4,L_4,Sst,Sst,1.53,83.6,gaussian,100,static_InhToInh.json
81,L_4,L_4,Sst,Vip,38.68,63.67,gaussian,100,static_InhToInh.json
82,L_4,L_4,Vip,Excitatory,0.1,10.0,exponential,100,static_InhToExc.json
83,L_4,L_4,Vip,PValb,3.61,45.22,gaussian,100,static_InhToInh.json
84,L_4,L_4,Vip,Sst,24.53,100.0,exponential,100,static_InhToInh.json
85,L_4,L_4,Vip,Vip,3.53,100.0,gaussian,100,static_InhToInh.json
86,L_4,L_4,Htr3a,Excitatory,35.1,85.0,billeh,100,static_InhToExc.json
87,L_4,L_4,Htr3a,PValb,2.0,120.0,billeh,100,static_InhToInh.json
88,L_4,L_4,Htr3a,Sst,62.5,120.0,billeh,100,static_InhToInh.json
89,L_4,L_4,Htr3a,Vip,2.8,120.0,billeh,100,static_InhToInh.json
90,L_4,L_4,Htr3a,Htr3a,2.8,120.0,billeh,100,static_InhToInh.json
91,L_4,L_4,Excitatory,Htr3a,57.1,103.0,billeh,100,static_ExcToInh.json
92,L_4,L_4,PValb,Htr3a,22.0,120.0,billeh,100,static_InhToInh.json
93,L_4,L_4,Sst,Htr3a,77.0,120.0,billeh,100,static_InhToInh.json
94,L_4,L_4,Vip,Htr3a,2.8,120.0,billeh,100,static_InhToInh.json
95,L_4,L_2/3,Excitatory,Excitatory,14.0,114.0,billeh,10,static_ExcToExc.json
96,L_4,L_2/3,Excitatory,PValb,10.0,92.0,billeh,10,static_ExcToInh.json
97,L_4,L_2/3,Excitatory,Sst,10.0,103.0,billeh,10,static_ExcToInh.json
98,L_4,L_2/3,Excitatory,Htr3a,10.0,103.0,billeh,10,static_ExcToInh.json
99,L_4,L_2/3,Excitatory,Vip,10.0,103.0,billeh,10,static_ExcToInh.json
100,L_4,L_5,Excitatory,cf,10.4,114.0,billeh,10,static_ExcToInh.json
101,L_4,L_5,Excitatory,it,10.4,114.0,billeh,10,static_ExcToInh.json
102,L_4,L_5,Excitatory,PValb,10.1,92.0,billeh,10,static_ExcToInh.json
