node_type_id model_template dynamics_params location pop_name ei model_type
100 nest:glif_lif_asc_psc L4_exc1_566290754_neuron_config.json Visl4 exc1 e point_process
101 nest:glif_lif_asc_psc L4_exc2_566374978_neuron_config.json Visl4 exc2 e point_process
102 nest:glif_lif_asc_psc L4_exc3_512192761_neuron_config.json Visl4 exc3 e point_process
103 nest:glif_lif_asc_psc L4_exc4_566304492_neuron_config.json Visl4 exc4 e point_process
104 nest:glif_lif_asc_psc L4_exc5_566293986_neuron_config.json Visl4 exc5 e point_process
105 nest:glif_lif_asc_psc L4_exc6_517842022_neuron_config.json Visl4 exc6 e point_process
106 nest:glif_lif_asc_psc L4_exc7_566290186_neuron_config.json Visl4 exc7 e point_process
107 nest:glif_lif_asc_psc L4_pvalb1_485694390_neuron_config.json Visl4 PV1 i point_process
108 nest:glif_lif_asc_psc L4_pvalb2_489931670_neuron_config.json Visl4 PV2 i point_process
109 nest:glif_lif_asc_psc L4_sst1_566729393_neuron_config.json Visl4 SST1 i point_process
110 nest:glif_lif_asc_psc L4_sst2_566737689_neuron_config.json Visl4 SST2 i point_process
111 nest:glif_lif_asc_psc L4_sst3_587845733_neuron_config.json Visl4 SST3 i point_process
112 nest:glif_lif_asc_psc L4_vip1_566305624_neuron_config.json Visl4 VIP1 i point_process
113 nest:glif_lif_asc_psc L4_vip2_562006495_neuron_config.json Visl4 VIP2 i point_process
114 nest:glif_lif_asc_psc L4_vip3_587848241_neuron_config.json Visl4 VIP3 i point_process
115 nest:glif_lif_asc_psc L4_vip4_591762171_neuron_config.json Visl4 VIP4 i point_process
116 nest:glif_lif_asc_psc L4_ht3ar_561769814_neuron_config.json Visl4 htr3a i point_process
